"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US11","District of Columbia","670587","*****",
"1400000US11001008001","Census Tract 80.01; District of Columbia; District of Columbia","3064","390",
"1400000US11001008002","Census Tract 80.02; District of Columbia; District of Columbia","3281","363",
"1400000US11001008100","Census Tract 81; District of Columbia; District of Columbia","3123","475",
"1400000US11001008200","Census Tract 82; District of Columbia; District of Columbia","2658","427",
"1400000US11001008301","Census Tract 83.01; District of Columbia; District of Columbia","2895","275",
"1400000US11001008302","Census Tract 83.02; District of Columbia; District of Columbia","2981","524",
"1400000US11001008402","Census Tract 84.02; District of Columbia; District of Columbia","2496","326",
"1400000US11001008410","Census Tract 84.10; District of Columbia; District of Columbia","2189","449",
"1400000US11001008701","Census Tract 87.01; District of Columbia; District of Columbia","2661","463",
"1400000US11001008702","Census Tract 87.02; District of Columbia; District of Columbia","3430","523",
"1400000US11001008802","Census Tract 88.02; District of Columbia; District of Columbia","4607","676",
"1400000US11001008803","Census Tract 88.03; District of Columbia; District of Columbia","3784","547",
"1400000US11001008804","Census Tract 88.04; District of Columbia; District of Columbia","3063","669",
"1400000US11001008903","Census Tract 89.03; District of Columbia; District of Columbia","4006","985",
"1400000US11001008904","Census Tract 89.04; District of Columbia; District of Columbia","3973","679",
"1400000US11001009000","Census Tract 90; District of Columbia; District of Columbia","3637","719",
"1400000US11001009102","Census Tract 91.02; District of Columbia; District of Columbia","4753","798",
"1400000US11001009201","Census Tract 92.01; District of Columbia; District of Columbia","3053","398",
"1400000US11001009203","Census Tract 92.03; District of Columbia; District of Columbia","3337","645",
"1400000US11001009204","Census Tract 92.04; District of Columbia; District of Columbia","3373","479",
"1400000US11001009301","Census Tract 93.01; District of Columbia; District of Columbia","3505","486",
"1400000US11001009302","Census Tract 93.02; District of Columbia; District of Columbia","1762","267",
"1400000US11001009400","Census Tract 94; District of Columbia; District of Columbia","4889","722",
"1400000US11001009503","Census Tract 95.03; District of Columbia; District of Columbia","3058","536",
"1400000US11001009504","Census Tract 95.04; District of Columbia; District of Columbia","3200","397",
"1400000US11001009505","Census Tract 95.05; District of Columbia; District of Columbia","4286","613",
"1400000US11001009507","Census Tract 95.07; District of Columbia; District of Columbia","1650","327",
"1400000US11001009508","Census Tract 95.08; District of Columbia; District of Columbia","3908","832",
"1400000US11001009509","Census Tract 95.09; District of Columbia; District of Columbia","3148","495",
"1400000US11001009510","Census Tract 95.10; District of Columbia; District of Columbia","4918","1012",
"1400000US11001009511","Census Tract 95.11; District of Columbia; District of Columbia","1211","45",
"1400000US11001009601","Census Tract 96.01; District of Columbia; District of Columbia","2035","478",
"1400000US11001009602","Census Tract 96.02; District of Columbia; District of Columbia","5144","813",
"1400000US11001009603","Census Tract 96.03; District of Columbia; District of Columbia","4025","584",
"1400000US11001009604","Census Tract 96.04; District of Columbia; District of Columbia","2288","543",
"1400000US11001009700","Census Tract 97; District of Columbia; District of Columbia","3830","888",
"1400000US11001009801","Census Tract 98.01; District of Columbia; District of Columbia","1814","505",
"1400000US11001009802","Census Tract 98.02; District of Columbia; District of Columbia","1991","481",
"1400000US11001009803","Census Tract 98.03; District of Columbia; District of Columbia","2984","593",
"1400000US11001009804","Census Tract 98.04; District of Columbia; District of Columbia","2908","577",
"1400000US11001009807","Census Tract 98.07; District of Columbia; District of Columbia","3462","704",
"1400000US11001009810","Census Tract 98.10; District of Columbia; District of Columbia","2226","361",
"1400000US11001009811","Census Tract 98.11; District of Columbia; District of Columbia","3849","746",
"1400000US11001009901","Census Tract 99.01; District of Columbia; District of Columbia","2140","379",
"1400000US11001009902","Census Tract 99.02; District of Columbia; District of Columbia","3090","870",
"1400000US11001009903","Census Tract 99.03; District of Columbia; District of Columbia","2355","546",
"1400000US11001009904","Census Tract 99.04; District of Columbia; District of Columbia","3179","522",
"1400000US11001009905","Census Tract 99.05; District of Columbia; District of Columbia","3461","562",
"1400000US11001009906","Census Tract 99.06; District of Columbia; District of Columbia","1622","361",
"1400000US11001009907","Census Tract 99.07; District of Columbia; District of Columbia","2472","670",
"1400000US11001010100","Census Tract 101; District of Columbia; District of Columbia","2723","455",
"1400000US11001010201","Census Tract 102.01; District of Columbia; District of Columbia","2837","420",
"1400000US11001010202","Census Tract 102.02; District of Columbia; District of Columbia","2303","427",
"1400000US11001010300","Census Tract 103; District of Columbia; District of Columbia","4196","659",
"1400000US11001010400","Census Tract 104; District of Columbia; District of Columbia","4725","927",
"1400000US11001010500","Census Tract 105; District of Columbia; District of Columbia","3953","611",
"1400000US11001010601","Census Tract 106.01; District of Columbia; District of Columbia","1858","385",
"1400000US11001010602","Census Tract 106.02; District of Columbia; District of Columbia","6682","691",
"1400000US11001010603","Census Tract 106.03; District of Columbia; District of Columbia","2709","617",
"1400000US11001010700","Census Tract 107; District of Columbia; District of Columbia","1587","376",
"1400000US11001010800","Census Tract 108; District of Columbia; District of Columbia","4083","264",
"1400000US11001010900","Census Tract 109; District of Columbia; District of Columbia","3338","650",
"1400000US11001011001","Census Tract 110.01; District of Columbia; District of Columbia","2607","527",
"1400000US11001011002","Census Tract 110.02; District of Columbia; District of Columbia","1564","217",
"1400000US11001011100","Census Tract 111; District of Columbia; District of Columbia","5308","730",
"1400000US11001980000","Census Tract 9800; District of Columbia; District of Columbia","17","25",
